SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
7/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
8/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
9/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
10/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
11/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
12/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
13/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
14/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
15/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
16/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
17/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
18/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
19/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
20/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
21/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
22/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
23/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
24/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
25/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
26/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
27/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
28/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
29/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
30/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
31/07/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
2/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
3/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
4/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
5/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
6/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
7/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
8/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
9/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
10/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
11/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
12/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
13/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
14/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
15/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
16/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
17/08/2018 0:00,-970,0,90,120,200,300,450,1000,5000,13500
18/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
19/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
20/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
21/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
22/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
23/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
24/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
25/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
26/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
27/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
28/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
29/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
30/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
31/08/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
1/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
2/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
3/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
4/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
5/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
